Date : 2022-11-29 14:36:26
Directory : c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic
Total : 622 files,  2014774 codes, 100 comments, 1180 blanks, all 2016054 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Songs.js                  | JavaScript |         27 |          0 |         11 |         38 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SubHeader.js              | JavaScript |         41 |          0 |          9 |         50 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SubmissionForm.js         | JavaScript |         11 |          0 |          5 |         16 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\TextEditor\PomEditor.js   | JavaScript |         86 |          0 |          8 |         94 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\TextEditor\ToolBar.js     | JavaScript |        173 |          0 |          5 |        178 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Transcribe.js             | JavaScript |         61 |          5 |         14 |         80 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\UserPanel.js              | JavaScript |        101 |          1 |         20 |        122 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\YouTubePlayer.js          | JavaScript |         16 |          2 |         10 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\oldSongs.js               | JavaScript |         23 |          0 |          4 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\hooks\usePersistedState.js           | JavaScript |         12 |          0 |          6 |         18 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\index.js                             | JavaScript |         25 |          0 |          3 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\package-lock.json                               | JSON       |      2,246 |          0 |          1 |      2,247 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\batchimport.js                           | JavaScript |         24 |          4 |          8 |         36 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\chordhandlers.js                         | JavaScript |         26 |          0 |          7 |         33 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar.json                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\11.js        | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\13.js        | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\5.js         | JavaScript |         18 |          0 |          1 |         19 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\6.js         | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\69.js        | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\7#9.js       | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\7.js         | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\7b5.js       | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\7b9.js       | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\7sus4.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\9#11.js      | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\9.js         | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\9b5.js       | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_C#.js       | JavaScript |         21 |          0 |          1 |         22 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_E.js        | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_F#.js       | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_F.js        | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_G#.js       | JavaScript |         21 |          0 |          1 |         22 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\_G.js        | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\add9.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\alt.js       | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\aug.js       | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\aug7.js      | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\aug9.js      | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\dim.js       | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\dim7.js      | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\index.js     | JavaScript |        110 |          0 |          2 |        112 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m11.js       | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m6.js        | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m69.js       | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m7.js        | JavaScript |         35 |          0 |          1 |         36 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m7b5.js      | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m9.js        | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_C.js       | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_E.js       | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_F#.js      | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_F.js       | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_G#.js      | JavaScript |         16 |          0 |          1 |         17 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\m_G.js       | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\madd9.js     | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj11.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj13.js     | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj7#5.js    | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj7.js      | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj7b5.js    | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\maj9.js      | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\major.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\minor.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\mmaj11.js    | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\mmaj7.js     | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\mmaj7b5.js   | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\mmaj9.js     | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\sus2.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\sus2sus4.js  | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\A\sus4.js      | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\11.js       | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\13.js       | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\5.js        | JavaScript |         18 |          0 |          1 |         19 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\6.js        | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\69.js       | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\7#9.js      | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\7.js        | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\7b5.js      | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\7b9.js      | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\7sus4.js    | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\9#11.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\9.js        | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\9b5.js      | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\add9.js     | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\alt.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\aug.js      | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\aug7.js     | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\aug9.js     | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\dim.js      | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\dim7.js     | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\index.js    | JavaScript |         84 |          0 |          2 |         86 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m11.js      | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m6.js       | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m69.js      | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m7.js       | JavaScript |         34 |          0 |          1 |         35 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m7b5.js     | JavaScript |         23 |          0 |          1 |         24 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\m9.js       | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\madd9.js    | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj11.js    | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj13.js    | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj7#5.js   | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj7.js     | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj7b5.js   | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\maj9.js     | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\major.js    | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\minor.js    | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\mmaj11.js   | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\mmaj7.js    | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\mmaj7b5.js  | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\mmaj9.js    | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\sus2.js     | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\Ab\sus4.js     | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\11.js        | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\13.js        | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\5.js         | JavaScript |         18 |          0 |          1 |         19 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\6.js         | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\69.js        | JavaScript |         29 |          0 |          1 |         30 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\7#9.js       | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\7.js         | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\7b5.js       | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\7b9.js       | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\7sus4.js     | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\9#11.js      | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\9.js         | JavaScript |         27 |          0 |          1 |         28 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\9b5.js       | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\add9.js      | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\alt.js       | JavaScript |         22 |          0 |          1 |         23 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\aug.js       | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\aug7.js      | JavaScript |         24 |          0 |          1 |         25 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\Chords\guitar\chords\B\aug9.js      | JavaScript |         29 |          0 |          1 |         30 |
